TYPE,NAME,DESCRIPTION,SOURCE_SN,INPUT
INPUT,Exhaust,废气,STATION,a00000
INPUT,Flowrate,烟气流速,STATION,a01011
INPUT,Temp,烟气温度,STATION,a01012
INPUT,Pressure,烟气压力,STATION,a01013
INPUT,Humidity,烟气湿度,STATION,a01014
INPUT,O2,氧气含量,STATION,a19001
INPUT,DUST,烟尘,STATION,a34013
INPUT,SO2,二氧化硫,STATION,a21026
INPUT,NOx,氮氧化物,STATION,a21002
STATUS,ministryStatus,部级平台状态,STATION.ministry,status
STATUS,provinceStatus,省级平台状态,STATION.province,status
STATUS,cityStatus,市级平台状态,STATION.city,status
STATUS,countryStatus,县级平台状态,STATION.country,status
STATUS,lteSignal,4G网络信号强度,GW,csq
STATUS,lteStatus,4G网络拨号状态,FUNCTION,cloud_status
STATUS,lteCCID,4G网络CCID,GW,ccid
STATUS,AnalyzerStatus,AnalyzerStatus,GW.cems,status_MP1
,,,,
TYPE,NAME,DESCRIPTION,HJ212 Name,VT
SETTING,section_area,烟道截面积,a01016,float
SETTING,filed_coefficient,速度场系数,Kv,float
SETTING,local_Pressure,本地大气压,a01006,float
