COMMENT,manufacture,name,description,series,,
META,伊之密,UN200A5,伊之密盟立成型机,UN200A5,,
,,,,,,
COMMENT,name,description,vt,namespace,opcua_id,value_map
MAP_INPUT,OperateMode,操作状态,int,1,1534,2
MAP_INPUT,OperateMode,操作状态,int,1,1535,3
MAP_INPUT,OperateMode,操作状态,int,1,1536,4
MAP_INPUT,OperateMode,操作状态,int,1,1537,4
MAP_INPUT,OperateMode,操作状态,int,1,1538,4
MAP_INPUT,OperateMode,操作状态,int,1,1541,1
MAP_INPUT,OperateMode,操作状态,int,1,1542,1
,,,,,,
COMMENT,name,description,vt,function,param,
CALC_INPUT,CurrentState,当前状态,int,meng_li.current_state,0,
CALC_INPUT,MaterialType,目前料号,int,meng_li.material_type,0,
CALC_INPUT,MouldName,目前模号,int,meng_li.material_name,0,
,,,,,,
COMMENT,name,description,vt,namespace,index,
INPUT,MaintainenceState,保养状态,int,1,1543,
INPUT,IdleState,空闲状态,int,1,1545,
INPUT,MotorState,马达状态,int,1,1540,
INPUT,HeatState,电热状态,int,1,1539,
INPUT,MoldCurrentPosition,模板位置,int,1,1513,
INPUT,ScrewCurrentPosition,螺杆位置,int,1,1514,
INPUT,EjectCurrentPosition,顶出位置,int,1,1516,
INPUT,NozzleCurrentPosition,座台位置,int,1,1515,
INPUT,Last_CycleTime,上一模周期时间,int,1,1523,
INPUT,EjeFWD1_Pressure,托模进一段压力,float,1,1680,
INPUT,EjeFWD1_Speed,托模进一段速度,float,1,1682,
INPUT,EjeFWD1_Position,托模进一段位置,float,1,1684,
INPUT,EjeFWD2_Pressure,托模进二段压力,float,1,1681,
INPUT,EjeFWD2_Speed,托模进二段速度,float,1,1683,
INPUT,EjeFWD2_Position,托模进二段位置,float,1,1685,
INPUT,EjeBWD1_Pressure,托模退一段压力,float,1,1686,
INPUT,EjeBWD1_Speed,托模退一段速度,float,1,1688,
INPUT,EjeBWD1_Position,托模退一段位置,float,1,1690,
INPUT,EjeBWD2_Pressure,托模退二段压力,float,1,1687,
,,,,,,
INPUT,CycleTime,周期时间,float,1,1533,
INPUT,MoldCloseTime,合模时间,float,1,1532,
INPUT,MoldCloseLPTime,合模低压时间,float,1,1579,
INPUT,MoldCloseHPTime,合模高压时间,float,1,1581,
INPUT,ClampForce,锁模力,float,1,1546,
INPUT,InjectTime,注射时间,float,1,1646,
INPUT,VP_Position,转保压位置,float,1,1526,
INPUT,ChargeTime,储料时间,float,1,1528,
INPUT,MoldOpenTime,开模时间,float,1,1531,
INPUT,MoldOpenEndPosition,开模结束位置,float,1,1530,
INPUT,ScrewHighestSpeed,储料最高转速,float,1,1522,
INPUT,ColdTime,冷却时间,float,1,1648,
,,,,,,
INPUT,MoldCavity,模穴数,int,1,1900,
INPUT,PlanPackCount,计划包装数,int,1,1907,
INPUT,CurrentPackCount,当前包装数,int,1,1908,
INPUT,PlanCount,计划产品数,int,1,1901,
INPUT,CurrentCount,当前产品数,int,1,1904,
INPUT,DefectivesCount,次品数,int,1,1906,
,,,,,,
COMMENT,description,vt,namespace,opcua_id,is_error,errno
ALARM,24V没电,int,1,1244,1,1000
ALARM,座进未到位,int,1,1249,0,1116
ALARM,座退未到位,int,1,1250,0,1117
