COMMENT,manufacture,name,description,series,,
META,伊之密,UN200A5,伊之密注塑机,UN200A5,,
,,,,,,
COMMENT,name,description,vt,namespace,index,rate
INPUT,Tag1,,int,1,1535,
INPUT,Tag2,,float,1,1742,
INPUT,Tag3,,float,1,1743,
INPUT,Tag4,,float,1,1744,
INPUT,Tag5,,float,1,1745,
INPUT,Tag6,,float,1,1746,
INPUT,Tag7,,float,1,1747,
INPUT,Tag8,,int,1,1539,
INPUT,Tag9,,int,1,1536,
INPUT,Tag10,,float,1,1513,
INPUT,Tag11,,int,1,1518,
INPUT,Tag12,,int,1,1520,
INPUT,Tag13,,int,1,1517,
INPUT,Tag14,,int,1,1519,
INPUT,Tag15,,float,1,1579,
INPUT,Tag16,,float,1,1581,
INPUT,Tag17,,float,1,1583,
INPUT,Tag18,,float,1,1532,
INPUT,Tag19,,int,1,1537,
INPUT,Tag20,,float,1,1816,
INPUT,Tag21,,int,1,1521,
INPUT,Tag22,,float,1,1528,
INPUT,Tag23,,float,1,1527,
INPUT,Tag24,,int,1,1522,
INPUT,Tag25,,float,1,1679,
INPUT,Tag26,,float,1,1585,
INPUT,Tag27,,float,1,1531,
INPUT,Tag28,,float,1,1530,
INPUT,Tag29,,float,1,1648,
INPUT,Tag30,,int,1,1512,
INPUT,Tag31,,int,1,1902,
INPUT,Tag32,,int,1,1905,
INPUT,Tag33,,int,1,1903,
INPUT,Tag34,,int,1,1906,
INPUT,Tag35,,float,1,1782,
INPUT,Tag36,,float,1,1514,
INPUT,Tag37,,int,1,1540,
INPUT,Tag38,,int,1,1900,
INPUT,Tag39,,int,1,1899,
INPUT,Tag40,,int,1,1930,
INPUT,Tag41,,int,1,1922,
INPUT,Tag42,,int,1,1923,
INPUT,Tag43,,int,1,1924,
INPUT,Tag44,,int,1,1925,
INPUT,Tag45,,int,1,1926,
INPUT,Tag46,,int,1,1927,
INPUT,Tag47,,int,1,1928,
INPUT,Tag48,,int,1,1929,
INPUT,Tag49,,int,1,1898,
INPUT,Tag50,,int,1,1921,
INPUT,Tag51,,int,1,1913,
INPUT,Tag52,,int,1,1914,
INPUT,Tag53,,int,1,1915,
INPUT,Tag54,,int,1,1916,
INPUT,Tag55,,int,1,1917,
INPUT,Tag56,,int,1,1918,
INPUT,Tag57,,int,1,1919,
INPUT,Tag58,,int,1,1920,
INPUT,Tag59,,float,1,1594,
INPUT,Tag60,,int,1,1777,
INPUT,Tag61,,float,1,1526,
INPUT,Tag62,,int,1,1538,
INPUT,Tag63,,int,1,1543,
INPUT,Tag64,,float,1,1523,
INPUT,Tag65,,float,1,1621,
INPUT,Tag66,,float,1,1622,
INPUT,Tag67,,float,1,1623,
INPUT,Tag68,,float,1,1624,
INPUT,Tag69,,float,1,1625,
INPUT,Tag70,,float,1,1626,
INPUT,Tag71,,float,1,1814,
INPUT,Tag72,,float,1,1525,
INPUT,Tag73,,float,1,1646,
INPUT,Tag74,,float,1,1524,
INPUT,Tag75,,float,1,1741,
INPUT,Tag76,,float,1,1515,
INPUT,Tag77,,int,1,1901,
INPUT,Tag78,,int,1,1904,
INPUT,Tag79,,int,1,1534,
INPUT,Tag80,,float,1,1529,
INPUT,Tag81,,int,1,1546,
INPUT,Tag82,,int,1,1545,
INPUT,Tag83,,float,1,1800,
INPUT,Tag84,,float,1,1802,
INPUT,Tag85,,float,1,1533,
INPUT,Tag86,,int,1,1542,
INPUT,Tag87,,float,1,1649,
INPUT,Tag88,,int,1,1244,
INPUT,Tag89,,int,1,1015,
INPUT,Tag90,,int,1,1006,
INPUT,Tag91,,int,1,1077,
INPUT,Tag92,,int,1,1078,
INPUT,Tag93,,int,1,1005,
INPUT,Tag94,,int,1,1399,
INPUT,Tag95,,int,1,1004,
INPUT,Tag96,,int,1,1016,
INPUT,Tag97,,int,1,1040,
INPUT,Tag98,,int,1,1039,
INPUT,Tag99,,int,1,1397,
INPUT,Tag100,,int,1,1398,
INPUT,Tag101,,int,1,1106,
INPUT,Tag102,,int,1,1104,
INPUT,Tag103,,int,1,1105,
INPUT,Tag104,,int,1,1103,
INPUT,Tag105,,int,1,1128,
INPUT,Tag106,,int,1,1126,
INPUT,Tag107,,int,1,1127,
INPUT,Tag108,,int,1,1151,
INPUT,Tag109,,int,1,1051,
INPUT,Tag110,,int,1,1152,
INPUT,Tag111,,int,1,1017,
INPUT,Tag112,,int,1,1068,
INPUT,Tag113,,int,1,1158,
INPUT,Tag114,,int,1,1157,
INPUT,Tag115,,int,1,1206,
INPUT,Tag116,,int,1,1258,
INPUT,Tag117,,int,1,1240,
INPUT,Tag118,,int,1,1055,
INPUT,Tag119,,int,1,1038,
INPUT,Tag120,,int,1,1026,
INPUT,Tag121,,int,1,1168,
INPUT,Tag122,,int,1,1044,
INPUT,Tag123,,int,1,1042,
INPUT,Tag124,,int,1,1041,
INPUT,Tag125,,int,1,1043,
INPUT,Tag126,,int,1,1211,
INPUT,Tag127,,int,1,1212,
INPUT,Tag128,,int,1,1236,
INPUT,Tag129,,int,1,1257,
INPUT,Tag130,,int,1,1154,
INPUT,Tag131,,int,1,1183,
INPUT,Tag132,,int,1,1254,
INPUT,Tag133,,int,1,1278,
INPUT,Tag134,,int,1,1273,
INPUT,Tag135,,int,1,1271,
INPUT,Tag136,,int,1,1245,
INPUT,Tag137,,int,1,1266,
INPUT,Tag138,,int,1,1300,
INPUT,Tag139,,int,1,1276,
INPUT,Tag140,,int,1,1247,
INPUT,Tag141,,int,1,1248,
INPUT,Tag142,,int,1,1032,
INPUT,Tag143,,int,1,1031,
INPUT,Tag144,,int,1,1290,
INPUT,Tag145,,int,1,1182,
INPUT,Tag146,,int,1,1177,
INPUT,Tag147,,int,1,1165,
INPUT,Tag148,,int,1,1287,
INPUT,Tag149,,int,1,1237,
INPUT,Tag150,,int,1,1223,
INPUT,Tag151,,int,1,1219,
INPUT,Tag152,,int,1,1218,
INPUT,Tag153,,int,1,1243,
INPUT,Tag154,,int,1,1173,
INPUT,Tag155,,int,1,1299,
INPUT,Tag156,,int,1,1020,
INPUT,Tag157,,int,1,1220,
INPUT,Tag158,,int,1,1301,
INPUT,Tag159,,int,1,1280,
INPUT,Tag160,,int,1,1222,
INPUT,Tag161,,int,1,1018,
INPUT,Tag162,,int,1,1007,
INPUT,Tag163,,int,1,1221,
INPUT,Tag164,,int,1,1227,
INPUT,Tag165,,int,1,1262,
INPUT,Tag166,,int,1,1272,
INPUT,Tag167,,int,1,1288,
INPUT,Tag168,,int,1,1316,
INPUT,Tag169,,int,1,1205,
INPUT,Tag170,,int,1,1260,
INPUT,Tag171,,int,1,1315,
INPUT,Tag172,,int,1,1238,
INPUT,Tag173,,int,1,1153,
INPUT,Tag174,,int,1,1210,
INPUT,Tag175,,int,1,1246,
INPUT,Tag176,,int,1,1049,
INPUT,Tag177,,int,1,1029,
INPUT,Tag178,,int,1,1289,
INPUT,Tag179,,int,1,1255,
INPUT,Tag180,,int,1,1225,
INPUT,Tag181,,int,1,1226,
INPUT,Tag182,,int,1,1224,
INPUT,Tag183,,int,1,1030,
INPUT,Tag184,,int,1,1279,
INPUT,Tag185,,int,1,1209,
INPUT,Tag186,,int,1,1048,
INPUT,Tag187,,int,1,1285,
INPUT,Tag188,,int,1,1284,
INPUT,Tag189,,int,1,1282,
INPUT,Tag190,,int,1,1283,
INPUT,Tag191,,int,1,1281,
INPUT,Tag192,,int,1,1274,
INPUT,Tag193,,int,1,1275,
INPUT,Tag194,,int,1,1349,
INPUT,Tag195,,int,1,1259,
INPUT,Tag196,,int,1,1033,
INPUT,Tag197,,int,1,1150,
INPUT,Tag198,,int,1,1320,
INPUT,Tag199,,int,1,1319,
INPUT,Tag200,,int,1,1216,
INPUT,Tag201,,int,1,1027,
INPUT,Tag202,,int,1,1028,
INPUT,Tag203,,int,1,1012,
INPUT,Tag204,,int,1,1011,
INPUT,Tag205,,int,1,1034,
INPUT,Tag206,,int,1,1269,
INPUT,Tag207,,int,1,1014,
INPUT,Tag208,,int,1,1270,
INPUT,Tag209,,int,1,1314,
INPUT,Tag210,,int,1,1286,
INPUT,Tag211,,int,1,1253,
INPUT,Tag212,,int,1,1256,
INPUT,Tag213,,int,1,1261,
